Authors,Year,Country first Author Affiliation,Journal,publisher,venue_domain,Full author information (please provide full first names),Title,"architecture = 1 urbanism = 2 
nature = 3",Research Topic,Research Topic - Fine grained,Motivation,Special Sample,num_participants,age_range,mean_age_participants,sex_perc_male,input_modality_cat,input_modality,stimulus material (visual),EEG_system_mobile_stationary,Protocoll_Lab_Real-world,lab_realworld_binary,EEG_system,EEG_company,System grade (medical vs consumer),SR_in_Hz,filters_amp,online_filters,num_channels,electrode_type,electrode_locations,Impedance,reference,offline_filters,Offline_High-Pass_(Hz),Offline_Low-Pass_(Hz),channel_interpolation,artifact_rejection,participant_mobility_score,system_mobility_score,EEG_parameter_space,Subj_Behave_Parameter_space,EEG_features_cat,alpha_para,independent_Variable,dependent_Variable,analyzed ROIs/electrode locations,interpretation of parameter,Theories used for interpretation,other_measures,Pre-Reg_Open-Data,Fusion EEG-Subjective,Fusion EEG-Other Modalities,analysis_Approach,ica_used,Data Availability,DOI_ /_Link,added date,Contributor,edited date,edited by,Edited what,Full paper / conference proceeding,changes (student assistants)
Bagheri et al.,2024,Netherlands,Building and Environment,Elsevier,Architecture / Design / Built Environment,"Sara Bagheri, Judith Good, and Hamed S. Alavi",Visual and acoustic discomfort: A comparative study of impacts on individuals with and without ADHD using electroencephalogram (EEG),1,Multisensory & environmental stimuli,Soundscapes & acoustic environments,Fundamental understanding,1,27,18-34,26.3,37%,visual + auditory,3,"audio recordings, real world",stat,Lab,1,NA,NA,NA,2048,NA-NA,0,32,NA,1,0,1,1,1,90,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, δ, 𝜃, ⍺, 𝛽, γ",questionnaires,2,1,noise and lighting,ratios of frequency bands,whole brain,NA,NA,"Skin Temperature, BVP",No,0,0,"1 = ICA, 2 = Auomated",1,1,https://doi.org/10.1016/j.buildenv.2024.111881,12.01.2026,Izzy,,,,,
Bai & Zhang,2024,China,Scientific Reports,Springer Nature,Multidisciplinary,Zhengkang Bai and Shuangquan Zhang,Effects of different natural soundscapes on human psychophysiology in national forest park,2,Nature & restorative environments,Forest & woodland exposure,Planning & policy evidence,0,52,18-21,NA,50%,auditory,2,audio recordings,stat,Lab,1,Mindwave,NeuroSky,consumer,512,NA-NA,0,1,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"⍺, 𝛽, γ, Proprietary output, δ, 𝜃, Frequency domain",Profile of Mood State (POMS),"2,9",1,"soundscapes and different complexity of natural sound scpes on attention, relaxation etc.","propriotory NeuroSky ⍺, 𝛽, γ",NA,"relaxation, attention","ART, SRT",NA,No,0,0,0 = Black Box,0,NA,https://doi.org/10.1038/s41598-024-67812-1,,Klaus,,,,,
Bai et al.,2025,China,J Environ Manage,Elsevier,Nature / Landscape / Environment / Ecology,"Zhengkang Bai, Shuangquan Zhang, and Hui He",Extraordinary nature and human recovery: Psychological and physiological perspectives,2,Nature & restorative environments,Forest & woodland exposure,Health & therapeutic applications,0,88,18-22,20.2,50%,visual,1,video (monitor),stat,Lab,1,Mindwave,NeuroSky,consumer,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Proprietary output, γ, 𝛽, Frequency domain",questionnaires,"2,9",1,extraordniary and normal nature impact on attention relaxation etc. ,"propriotory NeuroSky ⍺, 𝛽, γ",NA,"relaxation, concentration","ART, Biophilia, SRT",NA,No,0,0,0 = Black Box,0,1,https://doi.org/10.1016/j.jenvman.2024.123661,,Klaus,,,,,
Bailey & Kang,2022,USA,Int J Environ Res Pub Health,MDPI,Neuroscience / Psychology / Medicine,"Andrew W. Bailey, Hyoung-Kil Kang",Walking and Sitting Outdoors: Which Is Better for Cognitive Performance and Mental States?,"3, 2",Methods & technology,Fundamental brain-environment processing,Fundamental understanding,0,50,NA,NA,72%,real world all modalities,7,real world,mobile & stat,Real world,2,Emotiv Insight,Emotiv,consumer,128,3-43,1,5,NA,1,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝜃, ⍺, 𝛽","questionnaires, Stroop",2,1,walking vs. sitting in outdoor area ,"frontal alpha/beta ratio asymmetry, beta/alpha ratio, frontal theta to parietal alpha ratio ","frontal, parietal",frontal beta/alpha: attention; frontal alpha/beta ratio asymmetry: motivation; parietal gamma: state anxiety; frontal theta to parietal alpha ratio: inward attention ,ART,Performance,No,0,0,0 = Black Box,0,NA,10.3390/ijerph192416638,12.05.2026,Izzy,,,,,
Bailey et al.,2023,USA,Leisure Sciences,Taylor & Francis,Multidisciplinary,"AW Bailey, M Anderson, G Cox",The Cortex in Context: Investigating the Influence of Activity and Space on Psychological Well-Being,"2, 3",Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,27,NA,21,59%,real world all modalities,7,real world,mobile & stat,Real world,2,Emotiv Insight,Emotiv,consumer,128,0.5-44,1,5,semi-dry,1,1,1,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝜃, ⍺, 𝛽",questionnaires,2,1,walking routes with levels of greenery and traffic,"Frontal high frequencies, Frontal asymmetry, Posterior high frequencies, relative global alpha power, frontal thata + posterior alpha","frontal, parietal",frontal beta/alpha: attention; frontal alpha/beta ratio asymmetry: motivation; parietal gamma: state anxiety; frontal theta to parietal alpha ratio: inward attention ,ART,NA,No,0,0,0 = Black Box,0,NA,10.1080/01490400.2021.1889421,12.05.2026,Izzy,,,,,
Bailey et al.,2018,USA,World Leisure Journal,Taylor & Francis,Multidisciplinary,"Andrew W. Bailey, Garrett Allen, Josh Herndon, and Christian Demastus",Cognitive benefits of walking in natural versus built environments,3,Nature & restorative environments,Streetscapes & pedestrian experience,Health & therapeutic applications,0,10,NA,20,50%,real world all modalities,6,real world,mobile,Lab vs. Real world,3,Emotiv Insight,Emotiv,consumer,128,3-43,1,5,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝜃, ⍺, 𝛽, γ","Stroop, questionnaires",2,1,walks indoor vs. outdoor,"Frontal high frequencies, Frontal asymmetry, Posterior high frequencies, relative global alpha power, frontal thata + posterior alpha","frontal, parietal, occipital","Focus, Approach, Anxiety, Relaxation",ART,NA,No,0,0,9 = NA,0,NA,https://doi.org/10.1080/16078055.2018.1445025,13.01.2026,Izzy,,,,,
Banaei et al.,2015,Iran,Procedia,Elsevier,Multidisciplinary,"Maryam Banaei, Abbas Yazdanfar, Mostafa Nooreddin, and Ali Yoonessi",Enhancing Urban Trails Design Quality by Using Electroencephalography Device,2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,20,20-35,29,45%,real world all modalities,6,real world,mobile,Real world,2,Emotiv EPOC,Emotiv,consumer,128,NA-NA,0,14,NA,1,0,1,1,0.1,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",NA,2,1,park vs. bazaar,"anterior-frontal beta, occipital alpha","frontal, occipital","""active/alert/excited""; calmness",NA,NA,No,0,0,3 = Manual,0,NA,https://doi.org/10.1016%2Fj.sbspro.2015.08.191,13.01.2026,Izzy,,,,,
Banaei et al.,2017,Iran,Front Human Neuroscience,Frontiers,Neuroscience / Psychology / Medicine,"Maryam Banaei, Javad Hatami, Abbas Yazdanfar, and Klaus Gramann",Walking through Architectural Spaces: The Impact of Interior Forms on Human Brain Dynamics,1,Architectural & built interior spaces,Spatial form & geometry,Fundamental understanding,0,15,NA,28,47%,visual,1,virtual reality (HMD),mobile,Lab,1,BrainProducts MOVE,Brain Products,medical,1000,0.016-250,1,128,NA,1,1,1,1,1,100,1,1,3 - Unconstrained walking/cyclin,1 - Waist-mounted (or back-mounted) with additional equipment located in a rucksack,"Frequency domain, ⍺, δ, 𝜃","SAM, Stroop",2,1,Architectural forms,ERSPs,"frontal, temporal, parietal, occipital",association with arousal and pleasure,NA,NA,No,0,0,1 = ICA,1,NA,"https://doi.org/10.3389/fnhum.2017.00477
",,Klaus,,,,,
Bao et al.,2024,China,Landscape Archit Front,Higher Education Press,Architecture / Design / Built Environment,"Qiqi Bao, Hexian JIN, and Chengcheng Zeng",Research on Restorative Benefits of Rose Landscapes Through Visual and Olfactory Perception,2,Nature & restorative environments,Biophilic & multisensory nature interventions,Health & therapeutic applications,0,240,18-25,NA,NA,visual + olfactory,4,"smells, still images",stat,Lab,1,Emotiv EPOC X,Emotiv,consumer,NA,NA-NA,0,14,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"𝜃, ⍺, 𝛽, Frequency domain",Profile of Mood State (POMS),2,1,images of roses of different colors plus smells,"PSD  𝜃, ⍺, 𝛽 and ratios","frontal, temporal, parietal, occipital",stress and attention level,"ART, SRT",NA,No,0,0,9 = NA,0,NA,https://journal.hep.com.cn/laf/EN/10.15302/J-LAF-1-020104,,Klaus,,,,,
Baumann & Brooks-Cederqvist,2023,Australia,Heliyon,Elsevier,Multidisciplinary,"O. Baumann, B. Brooks-Cederqvist",Multimodal assessment of effects of urban environments on psychological wellbeing,2,Urban outdoor environments,Urban planning & public space,Planning & policy evidence,0,28,19-63,27.2,38%,real world all modalities,7,real world,stat,Real world,2,Muse,InteraXon,consumer,256,NA-NA,0,4,dry electrodes,1,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝜃, ⍺, 𝛽","PANAS, questionnaires",2,1,environments with higher/lower built density,"PSD  𝜃, ⍺, 𝛽","temporal, frontal",physiological arousal,"ART, SRT",ECG,No (OSF data/code shared),0,0,2 = Auomated,0,2,https://doi.org/10.1016/j.heliyon.2023.e16433,10.06.2026,Izzy,,,,,
Bei,2025,China,Front Psychol,Frontiers,Neuroscience / Psychology / Medicine,T Bei,Multimodal computational modeling of EEG and artistic painting for exploring the stress-relief mechanism of urban green spaces,"3, 2",Nature & restorative environments,Measurement frameworks & tool development,Methodological development,0,NA,NA,NA,NA,visual + auditory,3,video (monitor),stat,Lab,1,Neuroscan Synamps,Compumedics Neuroscan,medical,500,NA-NA,0,32,dry electrodes,1,1,0,1,1,40,0,1,"0 - Lying, sitting, or standing still",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,NA,NA,NA,NA,greenspace exposure ,EEG data used as emotional input for training an art creation AI model,NA,NA,ART,NA,No,0,0,1 = ICA,1,1,10.3389/fpsyg.2025.1547947,12.05.2026,Izzy,,,,,
