Authors,Year,Country first Author Affiliation,Journal,publisher,venue_domain,Full author information (please provide full first names),Title,"architecture = 1 urbanism = 2 
nature = 3",Research Topic,Research Topic - Fine grained,Motivation,Special Sample,num_participants,age_range,mean_age_participants,sex_perc_male,input_modality_cat,input_modality,stimulus material (visual),EEG_system_mobile_stationary,Protocoll_Lab_Real-world,lab_realworld_binary,EEG_system,EEG_company,System grade (medical vs consumer),SR_in_Hz,filters_amp,online_filters,num_channels,electrode_type,electrode_locations,Impedance,reference,offline_filters,Offline_High-Pass_(Hz),Offline_Low-Pass_(Hz),channel_interpolation,artifact_rejection,participant_mobility_score,system_mobility_score,EEG_parameter_space,Subj_Behave_Parameter_space,EEG_features_cat,alpha_para,independent_Variable,dependent_Variable,analyzed ROIs/electrode locations,interpretation of parameter,Theories used for interpretation,other_measures,Pre-Reg_Open-Data,Fusion EEG-Subjective,Fusion EEG-Other Modalities,analysis_Approach,ica_used,Data Availability,DOI_ /_Link,added date,Contributor,edited date,edited by,Edited what,Full paper / conference proceeding,changes (student assistants)
Domjan et al.,2023,Slovenia,J Building Engineering,Elsevier,Engineering / Technology / Acoustics / Thermal,"S Domjan, C Arkar, S Medved",Study on occupants' window view quality vote and their physiological response,1,Architectural & built interior spaces,Window views & indoor nature exposure,Methodological development,0,43,22-64,33.5,38%,visual,1,still images,stat,Lab,1,Muse S,InteraXon,consumer,NA,NA-NA,0,4,dry electrodes,1,0,1,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",questionnaires,2,1,window views,"FAA, ⍺/𝛽 ratio",NA,FAA: positive and approach-motivated state; ABR: relaxation,"ART, SRT",NA,No,0,0,0 = Black Box,0,1,10.1016/j.jobe.2023.106119,19.05.2026,Izzy,,,,,
Du et al.,2025,China,Building and Environment,Elsevier,Architecture / Design / Built Environment,"M Du, YE Zheng, CS Wang, ZX Wang, B Hong",Effects of tactile perceptions on elderly adults' thermo-physiological responses in outdoor open spaces,3,Multisensory & environmental stimuli,Thermal & climatic conditions,Design optimisation,1,48,NA,69,52%,tactile,11,real world,stat,Real world,2,Emotiv EPOC+,Emotiv,consumer,128,NA-NA,0,14,semi-dry,1,0,1,1,1,30,0,0,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, δ, 𝜃, ⍺, 𝛽",questionnaires,2,1,shading of outdoor location x material type,"PSD δ, 𝜃,⍺, 𝛽","frontal, occipital, parietal, temporal",α: relaxation,NA,"Blood Oxygenation, Blood Pressure, Skin Temperature, ECG",No,1,0,1 = ICA,1,1,10.1016/j.buildenv.2025.112958,19.05.2026,Izzy,,,,,
Ducao et al.,2020,USA,Int J Com WB,Springer Nature,Multidisciplinary,"Arlene Ducao, Ilias Koen, Zhiqi Guo, Jordi Frank, Chris Willard and Jenny Kam ",Multimer: Modeling Neurophysiological Experience in Public Urban Space,2,Urban outdoor environments,Streetscapes & pedestrian experience,Methodological development,0,101,NA,NA,NA,real world all modalities,6,real world,mobile,Real world,2,Mindrider,NeuroSky,consumer,NA,NA-NA,0,1,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝜃, 𝛽, γ",NA,2,1,walking through different city areas,Black Box attention meditation derived from power,NA,"attention, meditation",NA,ECG,No,1,0,0 = Black Box,0,1,https://doi.org/10.1007/s42413-020-00082-7,,Klaus,,,,,
Ekmekçi et al.,2025,Turkey,Architectural Science Review,Taylor & Francis,Architecture / Design / Built Environment,"A. Hakan Ekmekçi, Ebru Erdogan, Burak Yilmaz, and H. Abdullah Erdogan",Visual brain responses to architectural images; expertise-based differences in pattern-reversal VEPs,1,Architectural & built interior spaces,Fundamental brain-environment processing,Fundamental understanding,1,45,NA,30.4,52%,visual,1,still images,stat,Lab,1,NA,NA,NA,NA,5-200,1,1,NA,1,0,1,1,NA,NA,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",NA,"Time domain, Frequency domain, δ, ⍺, 𝛽, γ","questionnaires, Aesthetic Ratings","1, 2",,architectural images vs checkerboard basline,many parameters with gamma power as one established,NA,"cognitive-perceptual integration, sustained attention, complex isual processing ",NA,NA,No,0,0,"3 = Manual, 6 = ML, 9 = NA",0,1,https://doi.org/10.1080/00038628.2025.2591882,06.12.2025,Klaus,,,,,
Elsadek et al.,2024,China,Environment and Behavior,Sage Publishing,Neuroscience / Psychology / Medicine,"Mohamed Elsadek, Li Yinan, Mehdi Makvandi, and Zhang Deshun",Seasonal Influence of Sakura Trees on Human Health: Evidence From Physiological and Psychological Responses,2,Nature & restorative environments,Forest & woodland exposure,Design optimisation,0,75,18-29,22.6,48%,real world all modalities,6,real world,stat,Real world,2,Emotiv EPOC,Emotiv,consumer,NA,NA-NA,0,14,NA,1,0,0,0,NA,NA,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺","STAI, Profile of Mood State (POMS), questionnaires",2,1,"different seasonal apparances of cherry blossom trees, between subject design ",PSD ⍺,frontal,"relaxation, emotional engagement","ART, Biophilia, SRT","ECG, EDA",No,1,1,1 = ICA,1,NA,https://doi.org/10.1177/00139165241305895,,Klaus,,,,,
Elsadek et al.,2020,China,Urban Forestry Urban Green,Elsevier,Nature / Landscape / Environment / Ecology,"Mohamed Elsadek, Binyi Liu, and Junfang Xie",Window view and relaxation: Viewing green space from a high-rise estate improves urban dwellers’ wellbeing,2,Nature & restorative environments,Window views & indoor nature exposure,Planning & policy evidence,1,30,NA,29.6,0%,real world all modalities,6,real world,stat,Real world,2,Emotiv EPOC,Emotiv,consumer,2048,1-70,1,14,semi-dry,1,0,0,1,0.5,50,0,1,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺",Profile of Mood State (POMS),2,1,Looking out of office window at green area or city area,relative ⍺ Power,"frontal, occipital","relaxation, awareness","ART, SRT","ECG, EDA",No,0,0,1 = ICA,1,NA,https://doi.org/10.1016/j.ufug.2020.126846,04.09.2025,Izzy,,,,,
Elsadek et al.,2024,China,Building and Environment,Elsevier,Architecture / Design / Built Environment,"Mohamed Elsader, Zhang Deshun, and Binyi Liu","High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments",2,Nature & restorative environments,Window views & indoor nature exposure,Planning & policy evidence,0,45,NA,27,44%,visual,1,video (monitor),stat,Lab,1,Emotiv EPOC,Emotiv,consumer,NA,NA-NA,0,14,NA,1,0,0,0,NA,NA,0,1,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺",STAI,2,1,"drone captured videos of blue, green, urban, green-blue and green-urban simulated views from high-rise windows",occipital PSD ⍺,occipital,relaxation,"ART, SRT","ECG, EDA, Skin Temperature",No,1,1,1 = ICA,1,1,https://doi.org/10.1016/j.buildenv.2024.111798,15.05.2025,Izzy,,,,,
Elsadek et al.,2019,China,Urban Forestry Urban Green,Elsevier,Nature / Landscape / Environment / Ecology,"Mohamed Elsadek, Binyi Liu, and Zefeng Lian ",Green façades: Their contribution to stress recovery and well-being in high-density cities,2,Nature & restorative environments,"""Materials, colour & surface finishes """,Planning & policy evidence,1,25,NA,23,0%,real world all modalities,6,real world,stat,Real world,2,Emotiv EPOC,Emotiv,consumer,NA,1-70,1,14,semi-dry,1,0,0,1,0.5,50,0,1,"0 - Lying, sitting, or standing still",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝜃, 𝛽, γ",Profile of Mood State (POMS),2,1,green wall vs concrete wall,PSD ⍺,"frontal, occipital",wakefull relaxation,"ART, SRT","ECG, EDA",No,0,1,1 = ICA,1,NA,https://doi.org/10.1016/j.ufug.2019.126446,,Klaus,,,,,
Elsadek et al.,2021,China,Health Environ Res Design J,Sage Publishing,Architecture / Design / Built Environment,"Mohamed Elsadek, Yuhan Shao, Binyi Liu",Benefits of Indirect Contact With Nature on the Physiopsychological Well-Being of Elderly People,2,Nature & restorative environments,Forest & woodland exposure,Planning & policy evidence,1,29,NA,82.9,50%,visual,1,still images,stat,Lab,1,Emotiv EPOC,Emotiv,consumer,NA,NA-NA,0,14,semi-dry,1,0,0,1,0.5,50,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺","questionnaires, Profile of Mood State (POMS)",2,1,bamboo forrest vs urban image,"relative Freq, ⍺","frontal, occipital",relaxation,NA,"ECG, EDA",No,0,0,0 = Black Box,0,NA,https://doi.org/10.1177/19375867211006654,,Klaus,,,,,
Elsayed et al.,2024,Egypt,Int J Architectural Research,Emerald Publishing Ltd,Architecture / Design / Built Environment,"Mirame Elsayed, Abeer Elshater, Dina Shehayeb, Maros Finka, and Samy M.Z. Afifi",Exploring the restorative environments in Bratislava using EEG and VR: a neuro-urbanism approach,2,Nature & restorative environments,Streetscapes & pedestrian experience,Methodological development,0,8,NA,NA,50%,visual + auditory,3,virtual reality (HMD),stat - HMD,Lab,1,OpenBCI,OpenBCI,consumer,NA,NA-NA,0,8,NA,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺",questionnaires,2,1,different urban environments with green and built density variations,PSD ⍺,"frontal, parietal, occipital",relaxation,ART,NA,No,0,0,9 = NA,0,NA,https://doi.org/10.1108/ARCH-02-2024-0068,,Klaus,,,,,
Ergan et al.,2018,USA,J Comput Civ Eng,American Society of Civil Engineers,Engineering / Technology / Acoustics / Thermal,"Semiha Ergan, Ahmed Radwan, Zhengbo Zou, Hua-an Tseng, and Xue Han",Quantifying Human Experience in Architectural Spaces with Integrated Virtual Reality and Body Sensor Networks,1,Architectural & built interior spaces,Measurement frameworks & tool development,Methodological development,0,33,21-30,NA,67%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,128,NA-NA,0,14,NA,1,0,0,1,0.5,50,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"𝜃, ⍺, 𝛽, γ, Frequency domain, Proprietary output",questionnaires,"2,9",1,"architectural features like light, symmetry etc.","Power in 𝜃, ⍺, 𝛽, γ, FAA",frontal,relaxation,NA,"EDA, Eyetracking, EMG, ECG, PPG",No,0,0,3 = Manual,0,NA,https://doi.org/10.1061/(ASCE)CP.1943-5487.0000812,,Klaus,,,,,
Erkan,2024,Turkey,J Urban Technol,Taylor & Francis,Engineering / Technology / Acoustics / Thermal,İlker Erkan,The Neuro-Cognitive Approach to Urban Planning: Wayfinding Behavior Analysis and its Effect on Urban Planning,2,Urban outdoor environments,"""Wayfinding, navigation & spatial cognition""",Planning & policy evidence,0,712,21-57,34,50%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,Emotiv,consumer,NA,NA-NA,0,14,NA,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",NA,2,1,"street width, landmarks, building height and geometry, intersection "," ⍺, 𝛽",NA," ⍺: relaxation, 𝛽: stress",NA,Eyetracking,No,0,0,9 = NA,0,NA,10.1080/10630732.2023.2289144,19.05.2026,Izzy,,,,,
Erkan,2025,Turkey,Architecture and Engineering,St. Petersburg State University of Architecture and Civil Engineering,Architecture / Design / Built Environment,İlker Erkan,CRITICAL REVIEW OF MUSEUM ARCHITECTURE FROM A NEUROARCHITECTURE PERSPECTIVE; [КРИТИЧЕСКИЙ ОБЗОР МУЗЕЙНОЙ АРХИТЕКТУРЫ С ТОЧКИ ЗРЕНИЯ НЕЙРОАРХИТЕКТУРЫ],1,Architectural & built interior spaces,"""Spiritual, cultural & specialised spaces""",Design optimisation,0,304,NA,25.6,47%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,NA,NA-NA,0,14,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",NA,"Frequency domain, ⍺",questionnaires,2,1,artworks and location in a virtual museum ,"Power in ⍺, 𝛽",NA,"𝜃: decreased anxiety; ⍺: perception and reasoning, stress",NA,"Eyetracking, EDA, ECG",No,0,0,9 = NA,0,NA,10.23968/2500-0055-2025-10-1-3-15,19.05.2026,Izzy,,,,,
Erkan,2021,Turkey,Building Research & Information,Taylor & Francis,Architecture / Design / Built Environment,İlker Erkan,Cognitive response and how it is affected by changes in temperature,1,Multisensory & environmental stimuli,Thermal & climatic conditions,Design optimisation,0,180,19-40,34.41,50%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,1,0.2,50,0,1,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, δ, 𝜃, ⍺, 𝛽, γ",questionnaires,2,1,different indoor architectural spaces,"Power in δ,𝜃, ⍺, 𝛽, γ,",whole brain,,NA,Eyetracking,No,0,0,1 = ICA,1,NA,10.1080/09613218.2020.1800439,19.05.2026,Izzy,,,,,
Erkan,2024,Turkey,Architecture and Engineering,St. Petersburg State University of Architecture and Civil Engineering,Architecture / Design / Built Environment,İlker Erkan,SENSE OF URBAN AND ARCHITECTURAL ENVIRONMENT; [оЩуЩение городской и архитектурной среды],1,Architectural & built interior spaces,"""Historic, cultural & heritage environments""",Planning & policy evidence,0,160,NA,NA,NA,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",NA,"Frequency domain, ⍺, 𝛽, γ",PANAS,2,1,historical vs. modern environment,"Power in ⍺, 𝛽, γ","frontal, central, parietal"," ⍺: relaxation, 𝛽/γ: stress",NA,"Eyetracking, EDA",No,0,0,9 = NA,0,NA,10.23968/2500-0055-2024-9-2-33-46,19.05.2026,Izzy,,,,,
Erkan,2021,Turkey,Architectural Science Review,Taylor & Francis,Architecture / Design / Built Environment,İlker Erkan,A neuro-cognitive investigation of the impact of glass floors on people,1,Architectural & built interior spaces,"""Materials, colour & surface finishes """,Design optimisation,0,110,18-65,32.8,60%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽",Profile of Mood State (POMS),2,1,Height of glass floor ,⍺,NA,physiological stress,NA,"Eyetracking, EDA, ECG",No,0,0,9 = NA,0,NA,https://doi.org/10.1080/00038628.2020.1858574,03.11.2025,Izzy,,,,,
Erkan,2018,Turkey,Architectural Science Review,Taylor & Francis,Architecture / Design / Built Environment,İlker Erkan,Examining wayfinding behaviours in architectural spaces using brain imaging with electroencephalography (EEG),1,Architectural & built interior spaces,"""Wayfinding, navigation & spatial cognition"", Spatial form & geometry",Planning & policy evidence,0,343,18-65,35.8,49%,visual,1,virtual reality (HMD),stat - HMD,Lab,1,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"𝜃, ⍺, 𝛽, γ, Frequency domain",questionnaires,2,1,"maze ceiling height, gender, age","Power in 𝜃, ⍺, 𝛽, γ","frontal, parietal, occipital","𝛽 - active decision making, 𝜃 - anxiety, ⍺ - object recognition",NA,NA,No,0,0,3 = Manual,0,NA,https://doi.org/10.1080/00038628.2018.1523129,,Klaus,,,,,
Erkan,2023,Turkey,Open House International,Emerald Publishing Ltd,Architecture / Design / Built Environment,İlker Erkan,A neuro-cognitive perspective on urban behavior of people with different moods,2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,210,18-40,30.8,45%,real world all modalities,6,real world,mobile,Real world,2,NA,NA,NA,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,"3 - Head-mounted EEG system, with additional equipment located in a rucksack or off-body","⍺, 𝛽, Frequency domain",NA,2,1,green urban space vs busy urban space,"Power in ⍺, 𝛽",temporal,"⍺ - relaxation, 𝛽 - attention",NA,"Eyetracking, Blood Pressure, ECG",No,0,0,9 = NA,0,1,https://doi.org/10.1108/OHI-10-2022-0252,,Klaus,,,,,
Erkan et al.,2025,Turkey,J Urban Environ Eng,"University of Paraiba , Brazil",Engineering / Technology / Acoustics / Thermal,"İlker Erkan, Seda Şimşek, Fadime Diker, Gamze Akyol",Determining the cognitive perception of different settlement characteristics of people in the urban area,2,Urban outdoor environments,"""Historic, cultural & heritage environments""",Planning & policy evidence,0,40,21-61,29.43,50%,real world all modalities,7,real world,mobile,Real world,2,NA,NA,NA,NA,NA-NA,0,14,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,NA,"Frequency domain, ⍺, 𝛽, γ, δ, 𝜃",questionnaires,2,1,traditional vs. modern architectural buildings,"Power in δ,𝜃, ⍺, 𝛽, γ,",NA,,NA,NA,No,0,0,9 = NA,,NA,10.4090/juee.2025.v19n1.3-16,01.06.2026,Izzy,,,,,
Essawy et al.,2014,Egypt,Int J Architectural Research,Emerald Publishing Ltd,Architecture / Design / Built Environment,"Sally Essawy, Basil Kamel, & Mohamed S. Elsawy",Timeless buildings and the human brain: The Effect of Spiritual Spaces on Human Brain Waves,1,Architectural & built interior spaces,"""Spiritual, cultural & specialised spaces""",Health & therapeutic applications,0,11,19-35,NA,55%,real world all modalities,7,real world,stat,Real world,2,ProComp5,Thought Technology,medical,256,NA-NA,0,1,wet electrodes,0,0,0,0,NA,NA,0,0,"0 - Lying, sitting, or standing still",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, 𝜃, ⍺, 𝛽",NA,2,,different spot in a mosque,"Power in 𝜃, ⍺, 𝛽 and ratios thereof",NA,"higher ""energy""",NA,Blood Pressure,No,0,0,9 = NA,0,0,NO DOI,15.05.2026,Klaus,,,,,
Fan et al.,2025,China,Building and Environment,Elsevier,Architecture / Design / Built Environment,"Xing Fan, Die Hu, Yiyuan Fan, Jianyi Yang, Huiyi Liang, Tian Gao, and Ling Qiu","Urban restorative environments: The critical role of building density, vegetation structure, and multi-sensory stimulation in psychophysiological recovery",2,Nature & restorative environments,Biophilic & multisensory nature interventions,Health & therapeutic applications,0,180,18-24,21.2,22%,visual + auditory + olfactory,5,virtual reality (HMD),stat - HMD,Lab,1,Visheew Infinity 3000,Nanjing Visheew Medical Technology,medical,NA,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",NA,"Frequency domain, ⍺, 𝛽, γ","Perceived Restorativeness Scale (PRS), Perceived Restorativeness Soundscape Scale (PRSS), PANAS, Olfactory Perception",2,1,"green density, built density, sensory modalities (all with 3 levels each)","Power in 𝜃, ⍺, 𝛽",NA," 𝜃 - creativity vs sustained attention, ⍺ - fakefullness, 𝛽- attention",NA,"ECG, EDA, Skin Temperature",No,0,0,9 = NA,0,0,https://doi.org/10.1016/j.buildenv.2025.113190,,Klaus,,,,,
Farhangi et al.,2025,Iran,Cogn Systems Res,Elsevier,Neuroscience / Psychology / Medicine,"Farbod Farhangi, Abolghasem Sadeghi-Niaraki, Seyed Vahid Razavi-Termeh, Farimah Farhangi, and Soo-Mi Choi",Cognitive modeling based on geotagged pictures of urban landscapes using mobile electroencephalogram signals and machine learning models,2,Methods & technology,Measurement frameworks & tool development,Methodological development,0,32,21-59,30,47%,visual,1,still images,stat,Lab,1,Mindwave,NeuroSky,consumer,NA,0.5-49,1,1,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,Proprietary output,,9,2,color distribution and edges in geo-tagged urban images,Black-box attention and meditative states when watching geo-tagged images,NA,,NA,NA,No,0,0,0 = Black Box,0,1,https://doi.org/10.1016/j.cogsys.2025.101324,,Klaus,,,,,
Feng & Li,2025,China,Scientific Reports,Springer Nature,Multidisciplinary,Jianxi Feng and Qiyan Li,"Investigate physiological and psychological responses to environment scenes, elements and components in different urban settings",2,Urban outdoor environments,Streetscapes & pedestrian experience,Planning & policy evidence,0,31,21-26,NA,39%,real world all modalities,6,real world,mobile,Real world,2,PLUX Biosignals,Plux Biosignals,consumer,1000,NA-NA,0,1,NA,0,0,0,0,NA,NA,0,0,3 - Unconstrained walking/cyclin,4 - Head-mounted and requires smartphone/tablet,"Frequency domain, ⍺, 𝛽","Profile of Mood State (POMS), Perceived Restorativeness Scale (PRS)",2,1,density of green vs built spaces with specific object classes in different environments,"PSD  ⍺, 𝛽 based on Biosignals Algorithm (no description black box in this case)",frontal,"relaxation, attention",ART,EDA,No,0,0,0 = Black Box,0,1,https://doi.org/10.1038/s41598-025-86448-3,additional edits on 17.8.2025 by Klaus (real world protocol),"Klaus, Izzy",,,,,
Feng et al.,2026,China,Buildings,MDPI,Architecture / Design / Built Environment,"Mizhi Feng, Chengmin Zhou, Fangfang Yuan, Jake Kaner",Olfactory Environment Design in Office Buildings: A Study on the Recovery Effect of Specific Fragrances on Work Fatigue Based on Multimodal Measurement,"1, 3",Architectural & built interior spaces,"Workspace & office environments, Olfactory & chemical stimuli",Design optimisation,0,20,NA,NA,NA,olfactory,9,smells,stat,Lab,1,BitBrain,Bitbrain,medical,256,NA-NA,0,16,semi-dry,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, 𝜃, ⍺, 𝛽",NASA TLX,2,1,different scents ,"α/β,  θ/β, (α + θ)/β, (α + θ)/(α + β), θ/(α + β)",NA,"α: relaxation, β: focus/activation, θ: alertness",NA,"ECG, Eyetracking, EMG",No,1,0,9 = NA,0,1,10.3390/buildings16010003,22.05.2026,Izzy,,,,,
Fu et al.,2024,China,Front Psychol,Frontiers,Neuroscience / Psychology / Medicine,"Wen Jun Fu, Fei Gao, Xing Zhang, Bo Dong, Xi Lin Chen, Xin Xu, Zhi Yu Yang, Yong Liu",Tree–shrub–grass composite woodland better facilitates emotional recovery in college students emotion better than other plant communities,"3, 2",Nature & restorative environments,Forest & woodland exposure,Design optimisation,0,20,18-25,NA,NA,visual,1,still images,stat,Lab,1,Synamps2,Compumedics Neuroscan,medical,500,NA-NA,0,62,NA,0,1,1,1,1,40,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Frequency domain, δ, 𝜃, ⍺, 𝛽",PANAS,2,1,type of wood-/grassland,PSD alpha,"parietal, occipital","stress reduction, relaxation",Prospect Refuge Theory,NA,No,0,0,9 = NA,0,1,https://doi.org/10.3389/fpsyg.2024.1285792,13.01.2026,Izzy,,,,,
Fukumoto et al.,2024,Japan,PLoS One,PLOS,Multidisciplinary,"Hiroyuki Fukumoto, Masahiro Shimoda, and Saeko Hoshino",The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,1,Nature & restorative environments,"Window views & indoor nature exposure, Workspace & office environments",Design optimisation,0,18,NA,33.4,48%,real world all modalities,6,real world,stat,Real world,2,Emotiv Epoc Flex,Emotiv,consumer,128,NA-NA,0,32,wet electrodes,1,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"𝜃, ⍺1, ⍺2, 𝛽1, 𝛽2, Frequency domain, ⍺, 𝛽","PANAS, Stroop",2,1,different green indoor office  design (japanese vs tropical vs no green),"relative power in 𝜃, ⍺1, ⍺2, 𝛽1, 𝛽2","frontal, occipital, parietal","𝜃 relaxation, 𝛽 anxiety","ART, SRT, Biophilia",ECG,No,0,0,1 = ICA,1,0,https://doi.org/10.1371/journal.pone.0307934,,Klaus,,,,,
Gabriel et al.,2026,France,Neuroscience,Elsevier,Neuroscience / Psychology / Medicine,"Damien Gabriel, Pierre-Edouard Billot, Sylvie Tufeu, Eric Fernandez, Stéphanie Brédif, Florine Maylié, Karena Moretto, Virginie Fera, and Julie Giustiniani",Unravelling the impact on attention and emotions on neurophysiological responses to a multisensory experience of nature,3,Nature & restorative environments,"Biophilic & multisensory nature interventions, Fundamental brain-environment processing",Fundamental understanding,1,32,25-49,32,0%,visual + auditory + olfactory,5,still images,stat,Lab,1,Geodesic Netamp,Electrical Geodesic Inc./Philips,medical,1000,1 - 500,1,256,NA,1,0,1,1,1,30,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",0 - All equipment off-body mounted and participant tethered via cabling to EEG acquisition equipment,"Time domain, P100, N100, P200, P300",questionnaires,1,0,number of sensroy inputs during green vs grey images,"RT, errors (Go/NoGo task), ERP P1-N1, EPN, P3",whole brain,,"ART, SRT","ECG, EDA, breathing",No,0,1,9 = NA,0,0,https://doi.org/10.1016/j.neuroscience.2026.01.034,01.02.2026,Klaus,,,,,
Gao et al.,2025,China,Building and Environment,Elsevier,Architecture / Design / Built Environment,"Xinting Gao, Yang Geng, John D. Spengler, Junxiao Long, Ningrui Liu, Zhaoyang Luo, Saleh Kalantari, and Weimin Zhuang
","Evaluating the impact of spatial openness on stress recovery: A virtual reality experiment study with psychological and
physiological measurements",1,Architectural & built interior spaces,Spatial form & geometry,Design optimisation,0,52,18-30,NA,58%,visual,1,virtual reality (monitor),stat,Lab,1,Emotiv EPOC+,Emotiv,consumer,256,NA-NA,0,14,semi-dry,1,0,1,1,1,30,0,1,"0 - Lying, sitting, or standing still","3 - Head-mounted EEG system, with additional equipment located in a rucksack or off-body","Frequency domain, 𝜃, ⍺, 𝛽, γ","STAI, questionnaires",2,1,different openness (window coverage) of CAVE virtual environment,"stress recovery index, 𝜃, ⍺, 𝛽, γ, ⍺/𝛽, 𝜃/𝛽","frontal, occipital, parietal"," ⍺/𝛽 - relaxation, 𝜃/𝛽 - cognitive load, 𝛽 - alertness",ART,"EDA, Eyetracking, Pupillometry",No,1,1,"1 = ICA, 4 = PCA",1,1,https://doi.org/10.1016/j.buildenv.2024.112434,,Izzy,,,,,
Gao et al.,2025,China,Building and Environment,Elsevier,Architecture / Design / Built Environment,"XT Gao, WM Chen, JD Spengler, CG Yan, Y Geng, WM Zhuang","Larger or smaller? The effects of open-plan office spatial dimensions on human mood, productivity and economic benefit",1,Architectural & built interior spaces,Workspace & office environments,Design optimisation,0,52,NA,23.88,58%,visual,1,virtual reality (cave),stat,Lab,1,Emotiv EPOC+,Emotiv,consumer,256,NA-NA,0,NA,NA,0,0,0,0,NA,NA,0,0,"1 - Lying, sitting, or standing with localised movement, for example, finger tapping or button pressing",4 - Head-mounted and requires smartphone/tablet,"Frequency domain, δ, 𝜃, ⍺, 𝛽","Digital Span Task, Stroop, Stait-Trait Anxiety Inventory (STAI), Performance",2,1,size/scale of office rooms,"δ, 𝜃, ⍺, 𝛽,⍺/𝛽, 𝜃/𝛽, 𝜃/⍺",NA,"θ: enhanced attention, α: stress-free alertness, β: active thinking",Environmental Load Theory,"EDA, Eyetracking",No,0,0,9 = NA,,1,10.1016/j.buildenv.2025.113067,26.05.2026,Izzy,,,,,
